framw_id,Timestamp,Trans_x,Trans_y,Trans_z,Quaternion_x,Quaternion_y,Quaternion_z,Quaternion_w
632,21.0666666666669,-0.303102661,0.15510693,-5.84819603,0.0140528798,-0.761845614,0.00396799513,0.647594034
633,21.1000000000002,-0.351316067,0.156819729,-5.8683501,0.0142479502,-0.759061106,0.00383989651,0.650852125
634,21.1333333333335,-0.407885111,0.152417471,-5.89688072,0.0141060896,-0.755893669,0.00394038476,0.654530559
635,21.1666666666669,-0.430825079,0.158917902,-5.91641574,0.0144943641,-0.754615786,0.00362997225,0.655996762
636,21.2000000000002,-0.462423823,0.154666354,-5.9443353,0.0142086146,-0.752672943,0.00379851469,0.6582303
637,21.2333333333335,-0.500050668,0.151108155,-5.96240024,0.0138041066,-0.750736894,0.00376106558,0.660446377
638,21.2666666666669,-0.546613747,0.152659675,-5.98751555,0.0139135364,-0.748325846,0.00360948802,0.663175553
639,21.3000000000002,-0.584396414,0.149614875,-6.01037426,0.0139133716,-0.746270058,0.00399719331,0.665485868
640,21.3333333333336,-0.607773981,0.143513309,-6.0396817,0.0136846425,-0.744847433,0.00445370809,0.667079603
641,21.3666666666669,-0.629641064,0.142516011,-6.06780187,0.0137594486,-0.743711596,0.00452835372,0.668343649
642,21.4000000000002,-0.649979897,0.14707345,-6.09786976,0.0139749946,-0.742450511,0.00424398923,0.669741687
643,21.4333333333336,-0.673846992,0.148299234,-6.12216059,0.013754799,-0.741063729,0.00379946534,0.67128304
644,21.4666666666669,-0.682982075,0.149504279,-6.14239011,0.0137701525,-0.740738051,0.00381762092,0.67164198
645,21.5000000000002,-0.701531543,0.143218953,-6.17115457,0.0137652563,-0.739608766,0.00430645856,0.67288249
646,21.5333333333336,-0.711201868,0.142634839,-6.19432878,0.0135969682,-0.739071148,0.00423408313,0.673476824
647,21.5666666666669,-0.739244944,0.142013566,-6.22161882,0.013273825,-0.737578193,0.00409441911,0.675118842
648,21.6000000000002,-0.754148967,0.145379815,-6.24437336,0.0142589149,-0.736804811,0.00439850034,0.675940831
649,21.6333333333336,-0.764222977,0.142900479,-6.27470056,0.0138958274,-0.736253096,0.00437452553,0.676549442
650,21.6666666666669,-0.781165299,0.149149324,-6.29565392,0.0144063256,-0.735523466,0.00418399989,0.67733314
651,21.7000000000002,-0.789510838,0.136312449,-6.32655371,0.013736638,-0.734789671,0.00490483015,0.678138177
652,21.7333333333336,-0.810513774,0.13512673,-6.35719901,0.0134764146,-0.73375606,0.00457140613,0.679263964
653,21.7666666666669,-0.819355503,0.142801822,-6.37608844,0.0139228536,-0.733430928,0.00410923184,0.679608963
654,21.8000000000002,-0.835649712,0.138248547,-6.40426119,0.0139160557,-0.73263453,0.00462567933,0.680464248
655,21.8333333333336,-0.839955841,0.139823913,-6.42649999,0.0136695277,-0.732467252,0.00421244066,0.680651985
656,21.8666666666669,-0.855290264,0.144744943,-6.45670209,0.0142646509,-0.731541386,0.00426394026,0.681634462
657,21.9000000000002,-0.867627727,0.150945124,-6.48591812,0.0141103248,-0.730764547,0.00360134309,0.682474253
658,21.9333333333336,-0.862207116,0.14454406,-6.50560948,0.0139071771,-0.731475294,0.00396542224,0.681714574
659,21.9666666666669,-0.886064537,0.140293992,-6.5380574,0.0140602235,-0.729992563,0.00442530745,0.683296118
660,22.0000000000003,-0.894746907,0.136121474,-6.56113501,0.0134324785,-0.729588045,0.00431705363,0.683741338
661,22.0333333333336,-0.899929364,0.142353684,-6.59063561,0.0142817118,-0.729575089,0.00447099734,0.683736961
662,22.0666666666669,-0.90687488,0.145154831,-6.61974192,0.0143776765,-0.729099215,0.00413058308,0.684244514
663,22.1000000000003,-0.91077129,0.1391841,-6.64249309,0.0141544105,-0.72890463,0.00449590227,0.684454147
664,22.1333333333336,-0.926936394,0.14449785,-6.67210212,0.014409175,-0.728081302,0.00418378414,0.685326557
665,22.1666666666669,-0.926195677,0.134979591,-6.69929577,0.0138011701,-0.728079664,0.00462391489,0.685337982
